NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS
CÁTIA DO SOCORRO DE DEUS FERNANDES,3230,VEREADOR,60
DÉLIO RESENDE DE ABREU,3230,VEREADOR,44
RUBENS FERREIRA DOS SANTOS,3229.25,VEREADOR,91
TATIANE DOS SANTOS DUARTE,3229.0699999999997,VEREADOR,341
REINALDO JOAQUIM DE SOUSA,3227.38,VEREADOR,164
DEBORA CLEMENTINO FRANCO FERREIRA,3225,VEREADOR,18
THAIS FERREIRA DE REZENDE,3220.9,VEREADOR,3
MARIA ELZA EVARISTO CRISPIM,3220.7799999999997,VEREADOR,15
GILSON DA COSTA E SOUSA,3220.01,VEREADOR,68
MARIA DE FATIMA SILVA FRANÇA,3220,VEREADOR,54
MARCOS NILLO DE SOUZA,3219.9700000000003,VEREADOR,93
AMARILDO DOS SANTOS,3217.9,VEREADOR,116
EURIPEDES LOPES SOARES,3217.9,VEREADOR,81
BEATRIZ REZENDE DE PAULA PEREIRA,3217,VEREADOR,143
EDILEUZO MARMORECI DE BRITO,3215.92,VEREADOR,79
JOSE LUIS VINHAL,3215,VEREADOR,216
SILDO RODRIGUES DA SILVEIRA,3215,VEREADOR,121
VALMIR PEREIRA DA SILVA,3215,VEREADOR,194
FLAVIO AUGUSTO DE OLIVEIRA,3214.65,VEREADOR,185
LUCIA FERREIRA SANTOS,3214.4,VEREADOR,86
NILTON CESAR PEREIRA DA SILVA,3214.35,VEREADOR,465
JOSÉ ELIAS TEODORO DE JESUS,3213.87,VEREADOR,189
RENATO SHIUDE NOGUEIRA,3213.81,VEREADOR,1
JOÃO BATISTA DA CUNHA,3213.75,VEREADOR,187
WILTON CEZARA CARDOSO,3213.33,VEREADOR,129
DAGLLAYNE EVANGELISTA SILVA,3212.6,VEREADOR,13
DIVINO PEDRO SOARES,3212.6,VEREADOR,108
JOEL RIBEIRO GARCIA,3212.3,VEREADOR,55
WENDER ETERNO GOMES,3211,VEREADOR,162
COSMO FELIX DA SILVA,3210.95,VEREADOR,22
ELIETH GOMES DE PAULA,3210.95,VEREADOR,9
JOAREZ FRANCISCO DE BRITO,3210.45,VEREADOR,114
JULDECI PEREIRA DE SOUZA,3210.45,VEREADOR,87
ANDREZA GONÇALVES SILVA,3210,VEREADOR,1
ARMANDO ANTÔNIO MENDANHA,3210,VEREADOR,34
DAIANE FERREIRA DE CARVALHO,3210,VEREADOR,6
DANIELA MARIA DOS SANTOS LEÃO,3210,VEREADOR,18
DEUSANIR NOGUEIRA MANZAN,3210,VEREADOR,18
DIVINA BORGES DE CARVALHO,3210,VEREADOR,83
EDILSON PEREIRA CAMPOS,3210,VEREADOR,119
ELINTON APARECIDO DA SILVA,3210,VEREADOR,54
FÁBIO DOMINGOS DOS SANTOS,3210,VEREADOR,72
FREUDERI DOS SANTOS MELO,3210,VEREADOR,49
INACIO ANTONIO KOLLING,3210,VEREADOR,4
MARIA ROSANGELA DE OLIVEIRA,3210,VEREADOR,5
PAULA PEREIRA ARAUJO,3210,VEREADOR,19
ROOSEVELT CAETANO LEAL NETO,3210,VEREADOR,237
SILVANO FERREIRA DE ASSIS,3210,VEREADOR,35
SORAIA ARAUJO DE GOIS,3210,VEREADOR,19
WEDNEY DIVINO DE MIRANDA,3210,VEREADOR,205
RENALDO SOARES MANOEL,3209.7000000000003,VEREADOR,20
CLEIDIANY MOREIRA LIMA,3209,VEREADOR,9
GEISLA MARCELINO DIAS,3209,VEREADOR,59
GIRLENE LUCAS DA SILVA,3209,VEREADOR,30
LEILIANE RODRIGUES CARVALHO,3209,VEREADOR,22
MARCIA APARECIDA MENDES MOREIRA,3209,VEREADOR,67
VALDOMIRO MONTEIRO CIRILO,3209,VEREADOR,656
UELLITON JOSÉ MACHADO OLIVEIRA,3208.9,VEREADOR,441
ALESSANDRO DE ALMEIDA,3208.45,VEREADOR,51
JHON THOMAS COSTA CARVALHO,3208.45,VEREADOR,9
LEONARDO PEREIRA DA SILVA,3208.45,VEREADOR,21
DAVID ZAIA RESENDE,3205.1,VEREADOR,56
ELIANE RODRIGUES DA SILVA,3205.1,VEREADOR,20
MAURÍCIO CUNHA DOS SANTOS,3205.1,VEREADOR,51
OZILEY CORREIA FERREIRA,3205.1,VEREADOR,25
WASHINGTON JOSE BORGES,3205.1,VEREADOR,84
MARCIO MOREIRA,3205.04,VEREADOR,318
JOAO FERREIRA MAGALHAES,3205,VEREADOR,107
JOSÉ ALVES DE CAMARGO SOBRINHO,3203.69,VEREADOR,160
DELTON SANTANA DE LIMA,3200.7,VEREADOR,80
MARCIA GLEIS ALVES FERREIRA,3200.6,VEREADOR,45
REYLLA APARECIDA BORGES DE SOUSA,3200.4,VEREADOR,27
ISAÍAS PEREIRA DE ALCÂNTARA,3200.1000000000004,VEREADOR,417
ALMIRACY SOBREIRA DE SOUZA,3200,VEREADOR,44
ANTONIO JOSE DA SILVA,3200,VEREADOR,31
CLODOALDO ABADIO SILVA,3200,VEREADOR,21
DEJAIR MARIO DE OLIVEIRA JUNIOR,3200,VEREADOR,26
DIEGO DA SILVA MACHADO,3200,VEREADOR,130
EL CID RORIZ JUNIOR,3200,VEREADOR,167
FERNANDO DE SOUZA LEMES,3200,VEREADOR,90
GILBERTO NUNES SIQUEIRA JUNIOR,3200,VEREADOR,339
IRECILDA GONÇALVES DA SILVA,3200,VEREADOR,20
IVAN PEREIRA DA SILVA,3200,VEREADOR,343
JACY DE FREITAS GONÇALVES,3200,VEREADOR,282
JOAO PAULO AURIONE MARQUES,3200,VEREADOR,317
LUZIENE MARIA DA CUNHA,3200,VEREADOR,91
MARIA DO SOCORRO RODRIGUES SALES,3200,VEREADOR,22
MARIA NEUSA DE SOUSA MOURA,3200,VEREADOR,7
MIRIAM JUDITE VIEIRA,3200,VEREADOR,206
SILVANIA FERREIRA LEITE,3200,VEREADOR,5
SUELAINE ROMERO BRASIL RIBEIRO,3200,VEREADOR,84
ZILDETE RODRIGUES DE SOUZA SILVA,3200,VEREADOR,16
ALDEIR SOUZA RODRIGUES,3199.6499999999996,VEREADOR,94
ARTEMIA VALE ALVES LEAO,3199.5,VEREADOR,152
LUANA RAMOS DE OLIVEIRA MORAES,3199,VEREADOR,122
CLEIR CASTRO DOS SANTOS CAVALCANTE,3198,VEREADOR,27
VANUSA GONÇALVES ROCHA,3197.24,VEREADOR,254
GILDEMAR DA ROCHA SILVA,3197.05,VEREADOR,4
MARIA APARECIDA DOS REIS SOARES,3196.95,VEREADOR,51
THEISSE KEULLE RODRIGUES DE SOUSA,3196.95,VEREADOR,64
JACIENE MACHADO BATISTA E SILVA,3196.33,VEREADOR,287
FABÍOLA DE ALENCAR NOVAIS,3196.3,VEREADOR,226
FRANCISCO DIONISIO DE ARAUJO,3195.6,VEREADOR,259
RAGUINO BUENO NETO,3195,VEREADOR,187
ORLANDO LOPES DAMASCENO,3192.8099999999995,VEREADOR,110
SERGIO REIS ALVES DOS SANTOS,3192.21,VEREADOR,18
JOAO BATISTA FERREIRA,3191.86,VEREADOR,126
VALDENI FRANCISCO DOS REIS MIRANDA,3191.45,VEREADOR,87
ELIAS AGUIS RAMOS,3190.8,VEREADOR,145
IVANILDO FRANCISCO DE LIMA,3190.75,VEREADOR,56
ANTONIO DE ARAUJO OLIVEIRA,3190.16,VEREADOR,23
CYRO JEREMIAS SILVA,3189.8700000000003,VEREADOR,150
ENOC DAVID TAVARES,3189.5,VEREADOR,240
RONALDO ALVES BARBOSA,3188.62,VEREADOR,66
MARIA DO SOCORRO SILVA DE LUCENA,3188.5,VEREADOR,184
MARCELO MARTINS DE FREITAS,3186.4,VEREADOR,12
DENISE FERREIRA NOGUEIRA,3186.16,VEREADOR,91
DANIEL JÚNIOR GONÇALVES DA SILVA,3185,VEREADOR,123
THIAGO URZÊDA E SOUZA,3184.2,VEREADOR,186
JORCELINA FERREIRA RODRIGUES,3183.75,VEREADOR,84
FRANCISCO DE ASSIS DA SILVA,3183.58,VEREADOR,256
LUIZ CARLOS SEVERINO ALVES,3183.33,VEREADOR,28
BRENDA LARICE NAVES,3182.82,VEREADOR,23
EDNA DA SILVA VIEIRA,3182.82,VEREADOR,64
KAROLINE DE OLIVEIRA BARBOSA,3182.82,VEREADOR,74
MARIA INÊS DE FRANÇA,3182.82,VEREADOR,101
PATRÍCIA NUNES FERREIRA,3182.82,VEREADOR,58
SANCHA RITA DE QUEIROZ NETA,3182.8199999999997,VEREADOR,31
STEFANY APARECIDA DE OLIVEIRA,3182.8199999999997,VEREADOR,75
DALVAN CARDOSO DOS SANTOS,3182.5,VEREADOR,149
ALEX FERNANDO NOGUEIRA GONZAGA,3182.41,VEREADOR,351
IZAIAS DA SILVA,3182.4,VEREADOR,13
ALINE FERREIRA DOS REIS,3181.3,VEREADOR,11
MISAEL FREITAS OLIVEIRA,3181.3,VEREADOR,53
PATRYCK ROSA SEIXAS,3180,VEREADOR,304
JEFERSON RODRIGUES CORREA,3179.28,VEREADOR,215
MARIA MARTA DA SILVA,3179,VEREADOR,32
JUCILENE MARTINS EVANGELISTA,3178.68,VEREADOR,46
WALMIR BESSA DE SOUZA,3178.3,VEREADOR,30
ANDRÉ BARROS BASTOS,3177.87,VEREADOR,162
AILTON DIVINO DE CAMARGO,3177.8,VEREADOR,182
MAURICIO PEREIRA AGUIAR,3177.7,VEREADOR,205
GIOVANNI JOSÉ DIAS,3177.5,VEREADOR,442
VANDESMAR NUNES PEREIRA,3177,VEREADOR,303
THIAGO TAVARES PEREIRA,3176.9300000000003,VEREADOR,23
MARCO ANTÔNIO DE SOUZA,3176.5,VEREADOR,38
ABNER ROSA ALBUQUERQUE,3175,VEREADOR,47
JAINISMAR DE OLIVEIRA SILVA,3175,VEREADOR,146
ARQUIMEDES DE SOUSA OLIVEIRA,3174.23,VEREADOR,177
RAFAEL ALEXANDRE TEIXEIRA,3173.62,VEREADOR,228
FERNANDO GOMES DE SOUSA,3170.11,VEREADOR,30
LUCAS OLIVEIRA MARTINS,3170,VEREADOR,168
PAULO LELLIS ALBERTO DE MORAIS,3170,VEREADOR,127
ANDRE LUIS FERREIRA,3168.33,VEREADOR,125
VANUBIA CANDIDO RIBEIRO ROSA,3167.24,VEREADOR,228
MARCELO DIAS SILVA,3166.88,VEREADOR,239
FRANCISCO ISTENIO DE OLIVEIRA GOMES,3165,VEREADOR,210
JOSE RODRIGUES FERNANDES,3165,VEREADOR,102
SINVAL PINTO DA FONSECA,3164.4,VEREADOR,58
RIAN CARLOS CAMPOS DE OLIVEIRA,3164.35,VEREADOR,26
GILSON DIAS ARRATES,3163.5,VEREADOR,273
RICELY FRANCISCA DO PRADO GOMES,3163.43,VEREADOR,17
MARIA JUCELIA DE PAULA RIBEIRO,3163.4,VEREADOR,487
SIMONE MENDES DE PAIVA,3163,VEREADOR,17
LUIZ JOSÉ VENÂNCIO,3162.5,VEREADOR,80
OLÁVIO DOS SANTOS FELIX,3162.5,VEREADOR,154
WELLINGTON GOMES DOS SANTOS,3161.7,VEREADOR,21
GENILDO DOS SANTOS AZEVEDO,3161.67,VEREADOR,382
EGMAR TEIXEIRA BORGES,3161.33,VEREADOR,96
ANA DOS SANTOS SILVA,3161.3,VEREADOR,42
LUCÉLIA MOREIRA DOS SANTOS,3161.3,VEREADOR,21
JOSÉ MAURO PEREIRA SILVA DOS REIS,3161.0299999999997,VEREADOR,52
LUCAS SILVEIRA BITTAR,3161,VEREADOR,171
ADALBERTO DE CASTRO DOURADO,3160.45,VEREADOR,330
RAQUETE MOREIRA DA SILVA,3160.1,VEREADOR,25
LEANDRO MIZAEL DOS SANTOS,3160,VEREADOR,134
MEIRE MARIA BENFICA,3160,VEREADOR,149
RANGEL FERREIRA RABELO,3160,VEREADOR,148
ANDRÉ ALVES DE SOUSA,3159.5,VEREADOR,56
KENNIO JAIR MARTINS DE SOUZA,3159.35,VEREADOR,267
MÔNIA CRISTIAN SIQUEIRA DE JESUS,3156.5,VEREADOR,189
JOSE FERNANDES LEITE,3155.83,VEREADOR,71
GILBERTO LIMEIRA FRAGOSO,3155.8,VEREADOR,160
RAIMUNDO ALVES DE OLIVEIRA,3150.8,VEREADOR,72
WALMIR DA SILVA COSTA,3150.8,VEREADOR,91
ALESSANDRO DE SOUZA SANTOS,3150,VEREADOR,70
ANTONIO MARCOS GOMES DE LIMA,3150,VEREADOR,60
DONIZETH PINHEIRO DE SOUZA GOMES,3150,VEREADOR,120
ELIABIA DE OLIVEIRA MEDEIROS,3150,VEREADOR,82
EVA INACIA DA SILVA DUTRA,3150,VEREADOR,18
FLAVIO ELIAS DA CRUZ,3150,VEREADOR,127
GEISIANY ALVES FIRMINO DOS SANTOS,3150,VEREADOR,217
GERALDO RIBEIRO,3150,VEREADOR,438
GLEICIONE COSTA DOUTOR,3150,VEREADOR,37
JOSE HUMBERTO DE SOUSA,3150,VEREADOR,59
PEDRO MIGUEL BERNARDO,3150,VEREADOR,95
RIVALDO FERREIRA DA SILVA,3150,VEREADOR,75
ROBERTO BASTOS MENDES,3150,VEREADOR,338
ROGER JESUS DE SOUZA,3150,VEREADOR,17
RUMMENIGGE LAMARTINE SANTOS,3150,VEREADOR,65
VANDERLEI GOMES DE GODOI,3150,VEREADOR,88
WANDERLEY QUIRINO PORTO MARTINS,3150,VEREADOR,23
ROSA DIAS CORTES,3149.8,VEREADOR,46
JAIME AUGUSTO DA SILVA,3149.45,VEREADOR,27
MARLY VIANA DE SOUSA,3149,VEREADOR,5
JONAS DE SOUZA JESUS,3147.2000000000003,VEREADOR,86
GILBERTO GOMES DE ARAUJO,3147,VEREADOR,337
BIANCA BISPO GONÇALVES,3146.33,VEREADOR,61
RAFAEL FERREIRA MARTINS,3146.17,VEREADOR,225
JOANA FERREIRA DE MORAIS,3145.8,VEREADOR,16
MARIA PRACIDINA DE JESUS SILVA,3145.37,VEREADOR,26
SINNARA ANTONIA DE ALMEIDA,3145.3,VEREADOR,49
ADRIANA ALVES MARTINS SAUNDERS,3145,VEREADOR,58
AMINALDO DE CAMPOS VIEIRA DE SANTANA,3145,VEREADOR,189
CAMILA BEZERRA DA SILVA,3145,VEREADOR,20
JOSIANA FERREIRA DA SILVA,3145,VEREADOR,33
VERA LUCIA GONCALVES,3145,VEREADOR,14
LUIS FERNANDO DA SILVA,3144.78,VEREADOR,213
CASSIA ROSA RODRIGUES,3143.69,VEREADOR,10
MARCIA ROSARIA DE SOUZA,3143.69,VEREADOR,1
FERNANDO ALVES DA CUNHA FILHO,3142.89,VEREADOR,329
ADONIAS OLIVEIRA,3141.82,VEREADOR,214
FRANCISCO BATISTA LIMA,3141.48,VEREADOR,39
ALANZIEL MORAIS SILVA,3140.76,VEREADOR,373
ALICE ALVES DE BAROS,3140,VEREADOR,4
EUDO JORDAO DA ROCHA,3140,VEREADOR,96
FERNANDO ADRIANO FERREIRA DE JESUS FELISBERTO,3140,VEREADOR,283
CLEIDISON FRANCA DA SILVA,3139.9,VEREADOR,53
ODENIR LUIZ DA MOTA,3139.6,VEREADOR,142
DIOGENES FRAGOSO DOS SANTOS,3139,VEREADOR,11
ANTONIO ALVES DE OLIVEIRA,3135.6,VEREADOR,39
LUIZ BEZERRA DA COSTA NETO,3135,VEREADOR,325
JEYSON RAFAEL RODRIGUES NOVAIS,3133.85,VEREADOR,217
MARIA LUCIA OLIVEIRA EVANGELISTA SILVA,3133.24,VEREADOR,42
ERIS BATISTA MOREIRA GOMES,3132.5,VEREADOR,290
EULER RODRIGUES DOS REIS,3132.5,VEREADOR,307
REGINA CELIA MIRANDA DA SILVA,3131.94,VEREADOR,109
MARCIA CRISTINA PARREIRA DOS SANTOS,3130,VEREADOR,232
PAULO ROBERTO CHAVES,3129.8399999999997,VEREADOR,16
MARIA FRANCISCA CONCEIÇÃO AZEVEDO,3128.35,VEREADOR,7
PAULO CESAR RODRIGUES DOS SANTOS,3127.65,VEREADOR,84
LENILSON REIS DOS SANTOS,3126.0499999999997,VEREADOR,25
REINALDO RODRIGUES FERREIRA,3125.5,VEREADOR,331
SELMA CRISTINA DE OLIVEIRA GOULART,3125.17,VEREADOR,88
GLEISON DE OLIVEIRA FLAVIO,3125,VEREADOR,3074
IVANO JOSÉ DE SOUSA,3125,VEREADOR,247
VALDEMIR DOS SANTOS,3125,VEREADOR,135
LUIS PAULO CARDOSO DOS REIS,3123.33,VEREADOR,20
EDMILSON LOBO BORGES,3122.5,VEREADOR,268
SINVAL GILDO DA SILVA,3122.5,VEREADOR,102
LEANDRO MEIRELES DE SOUSA,3122.4,VEREADOR,38
LUCIMAR DE SOUZA VARGAS,3121.6099999999997,VEREADOR,353
EDVALDO RODRIGUES DO NASCIMENTO,3120.95,VEREADOR,233
REVALINO PEREIRA PRIMO,3120.74,VEREADOR,172
ALAM HERMANO DE LIMA,3120.12,VEREADOR,49
ANTÔNIO SÉRGIO REIS,3120.12,VEREADOR,133
CARLOS EDUARDO BENTO BARBOSA,3120.12,VEREADOR,83
DARLAN ALMEIDA DOS ANJOS,3120.12,VEREADOR,54
DIVANY BATISTA ALVES,3120.12,VEREADOR,52
JERONIMO FERNANDES COSTA JUNIOR,3120.12,VEREADOR,142
JOSÉ DE PAULA GUIMARÃES JUNIOR,3120,VEREADOR,106
SAVIO SARDINHA SANTANA,3120,VEREADOR,36
MARCELO CARDOSO FARIA,3119,VEREADOR,13
ANTONIO DE LIMA,3118.8,VEREADOR,43
JERONIMO RODRIGUES DA SILVA,3118.5,VEREADOR,204
HENRIQUE VIEIRA DE SOUSA,3117,VEREADOR,331
JOSÉ CARLOS ALVES BUENO,3116.31,VEREADOR,137
ELIZEU PAULO FERREIRA DA SILVA,3116,VEREADOR,64
JOSÉ GUIMARÃES CABRAL,3116,VEREADOR,24
LUCAS DE OLIVEIRA MACIEL,3116,VEREADOR,237
MARCOS DA COSTA TOME,3116,VEREADOR,168
PAULO RICARDO DE OLIVEIRA,3116,VEREADOR,61
WELINGTON PEREIRA DE FREITAS,3116,VEREADOR,90
VINICIUS PINHEIRO DOS SANTOS,3115.99,VEREADOR,175
GLEIS SARAFIM RODRIGUES SANTANA,3115,VEREADOR,26
GLEITON FERREIRA MAIA,3114.9500000000003,VEREADOR,111
LEOMAR MAURICIO DA SILVA,3114.5,VEREADOR,157
TAMIRIS CRISTINA NASCIMENTO,3113.46,VEREADOR,14
ANGELINO CARDOSO NETO,3112.7,VEREADOR,112
REGINALDO COUTINHO,3111.12,VEREADOR,108
ISABELLA OLIVEIRA MIRANDA,3110,VEREADOR,240
KASSIO JUNQUEIRA DE AQUINO,3108.06,VEREADOR,168
UBIRATAN DE OLIVEIRA DIAS,3107.76,VEREADOR,20
SONAIDE BORGES PROCOPIO,3107.6,VEREADOR,34
SEBASTIÃO BATISTA DE OLIVEIRA,3107,VEREADOR,173
VERICE TEIXEIRA DOS SANTOS,3106.25,VEREADOR,26
JOSE LUIZ DA SILVA,3105.95,VEREADOR,32
WANDER MARCOS DE SOUZA,3105.95,VEREADOR,75
WESLEY MELO MOREIRA,3105.2,VEREADOR,123
PAULO VICTOR SILVA DE OLIVEIRA,3105,VEREADOR,120
VALDISON FERNANDES CARNEIRO,3105,VEREADOR,213
LETICIA CAMARGO MAIA,3104.85,VEREADOR,48
ADAILTON VIDAL DOS SANTOS,3102.35,VEREADOR,180
ADELMAR BENEDITO PEREIRA EIBS,3102,VEREADOR,33
APARECIDA DE CARMO ALVES,3100,VEREADOR,100
DIVINA MARCIA DE OLIVEIRA,3100,VEREADOR,57
ELSON LINO NETO,3100,VEREADOR,249
GERACINO ALVES SOBRINHO,3100,VEREADOR,421
IZAIAS OLIVEIRA TRINDADE,3100,VEREADOR,465
JOANA COUTO MOREIRA,3100,VEREADOR,74
JOAO PAULO DE OLIVEIRA CARNEIRO,3100,VEREADOR,465
JOICE RODRIGUES DE OLIVEIRA,3100,VEREADOR,6
LUCELENA DA SILVA,3100,VEREADOR,40
LUCIANA DE CARVALHO VILA VERDE,3100,VEREADOR,166
SHEILA CARDOSO DA SILVA,3100,VEREADOR,66
SILVANIA MACHADO DE OLIVEIRA,3100,VEREADOR,37
SINOMAR QUIRINO FERREIRA,3100,VEREADOR,105
JOEL DA SILVA GOMES,3098.6,VEREADOR,50
ADRIANA CAETANO BARBOSA,3098.2200000000003,VEREADOR,28
ROBERTO TEIXEIRA ELIAS,3097.8700000000003,VEREADOR,29
ELSA MARIA DE SOUSA SOARES,3096.5,VEREADOR,389
MARIA ELZA DE JESUS PEIXOTO,3096.38,VEREADOR,117
ELEUSA FRANÇA DE MELO,3095.21,VEREADOR,123
ANTONIA PEREIRA DA SILVA,3095,VEREADOR,105
LAURA BEATRIZ VALADÃO DIAS MENDES,3095,VEREADOR,15
ROSINALDO CEZARIO DOS SANTOS,3095,VEREADOR,79
VALDIR DA COSTA TORRES,3095,VEREADOR,116
EDBERTO CARNEIRO ALVES,3094.3900000000003,VEREADOR,121
ITAMIRDES JOSE DA SILVA,3093.85,VEREADOR,25
REGINALDO SILVO MENDANHA,3093.85,VEREADOR,7
WEMERSON MEDEIROS DE ARAUJO,3093.4,VEREADOR,148
WANDERSON RODRIGUES DE MELO,3092.5,VEREADOR,76
JOSÉ FERNANDES GRAÇAS NETO,3091.75,VEREADOR,225
GASPAR MONTEIRO NORONHA CAMPOS,3090.1099999999997,VEREADOR,13
EVA ILDA COSTA,3090,VEREADOR,8
MANOEL RODRIGUES LOPES,3090,VEREADOR,93
PATRICIA APARECIDA DELFINO DE ABREU,3090,VEREADOR,5
SONIA BANDEIRA SALVIANO DOUTOR,3090,VEREADOR,31
LUIS CARLOS CORREIA DA SILVA,3089.83,VEREADOR,108
ROGERIO RIBEIRO JUVENAL,3088.33,VEREADOR,208
ROSILENE MARIA FERREIRA SOUZA,3087,VEREADOR,372
CIONICE BATISTA SILVEIRA,3085,VEREADOR,48
PAULO ANTONIO DE MOURA,3085,VEREADOR,140
BRUNO FIGUEIREDO DE NORONHA,3084.87,VEREADOR,1248
MARCELO FERREIRA DE MELO,3084.45,VEREADOR,128
RENATA GOMES DA SILVA,3083.52,VEREADOR,23
ADRYELLE CRISTINA FELISBINO DA SILVA,3082.62,VEREADOR,3
VICENTE PAULINO DA SILVA,3082.2,VEREADOR,27
EDINILSO JOSE MACIEL,3082,VEREADOR,189
MARLY APARECIDA DE ASSIS,3082,VEREADOR,63
LUCIENE MOREIRA ALVES COELHO,3081.81,VEREADOR,173
ISRAEL SILVA NETO,3081.45,VEREADOR,144
WALLACE PEREIRA SANT ANA,3079.8,VEREADOR,193
JOSELITA VENTURA DOS SANTOS GOMES,3079,VEREADOR,47
ANDREIA LOPES DE JESUS,3077,VEREADOR,31
TÚLIO NOGUEIRA DOS SANTOS,3076.93,VEREADOR,21
LUCIENE ALVES CORREIA DOS SANTOS,3075.37,VEREADOR,34
EVANICE DE OLIVEIRA ANDRADE,3075.2,VEREADOR,167
LUCIANA CRISTINA RIBEIRO DOS SANTOS,3075,VEREADOR,29
RUBENS ALVES PIRES,3075,VEREADOR,19
VALDIVINO DE SOUZA SANTOS,3075,VEREADOR,10
LINDOMAR DIVINO PEREIRA,3073.75,VEREADOR,379
MARGARIDA FERREIRA LOPES,3073.65,VEREADOR,91
FRANCISCO REBOUÇAS NETO,3072.5,VEREADOR,252
JUESMAR CAMILO CORTES GARCIA,3072.5,VEREADOR,359
MIRELLE BATISTA DE SOUZA CASTELO,3072.5,VEREADOR,139
ADRIANO HENRIQUE MAFFRA,3070.9,VEREADOR,379
PAULO ROBERTO GONÇALVES DE BASTOS,3070.8,VEREADOR,231
GERCENI DUARTE DA ROCHA NETA,3070,VEREADOR,41
WESLEY FERREIRA DE LIMA,3070,VEREADOR,60
WILLIAN JOSE DE OLIVEIRA,3070,VEREADOR,177
VILMAR FRANCISCO BORGES,3069.45,VEREADOR,97
ROGERIO BORGES FERREIRA,3068.35,VEREADOR,197
ZENILDO DE FREITAS CUNHA,3067.67,VEREADOR,18
SANTA DA ROCHA LIMA,3066.13,VEREADOR,68
VALDIRENE DE OLIVEIRA MARTINS,3064.88,VEREADOR,92
VIVIANE PEREIRA DE OLIVEIRA NUNES,3064,VEREADOR,48
ANTONIO PEREIRA DA SILVA,3062.5,VEREADOR,218
AIRTON GONZAGA VIEIRA,3060,VEREADOR,131
JANDIRA FRANCISCA DE SÁ BULZACCHELLI,3060,VEREADOR,252
MARCUS VINICIUS PASSOS TAVARES,3060,VEREADOR,340
MARCIA DIVINA DE SOUZA ELIAS,3058.48,VEREADOR,68
AZAIR FATIMA BORGES,3058,VEREADOR,475
LUZIENE VIEIRA DA SILVA,3056.8,VEREADOR,182
REGINALDO DE FARIA,3056.66,VEREADOR,46
MARIA CÉLIA LOURENÇO DA SILVA,3054.38,VEREADOR,74
VALDEMIR ROCHA DE SOUSA,3054.3,VEREADOR,326
ANSELMO ROSA MEDEIROS,3053.04,VEREADOR,12
FABIANO ALVES DE ALMEIDA,3053.04,VEREADOR,183
ALAN JOSE FRANCISCO DO AMARAL,3053,VEREADOR,210
CARLOS HENRIQUE NASCIMENTO DA SILVA,3052.9700000000003,VEREADOR,34
SAMUEL OLIVEIRA DA SILVA,3051.5,VEREADOR,41
CÊNIA APARECIDA DOS SANTOS MENÊZES,3050,VEREADOR,56
ENNIO RESENDE DE SOUZA,3050,VEREADOR,67
GIULLIAN BATISTA LOPES,3050,VEREADOR,49
JOAO BATISTA DA COSTA SERAFIM,3050,VEREADOR,35
KATIA RIBEIRO DA SILVA,3050,VEREADOR,20
SHEILA CRISTINA SANTANA,3050,VEREADOR,27
SOLANGE MARIA DE JESUS PIMENTA DIAS,3050,VEREADOR,14
VAGNER BATISTA FARIAS,3049.6800000000003,VEREADOR,325
JARDELAINE ALVES RIBEIRO SILVA,3049.5,VEREADOR,500
CARLOS HENRIQUE REZENDE,3048.33,VEREADOR,221
NIVALDO ALVES DA SILVA,3048.3,VEREADOR,106
MOACIR KAWAMOTO,3048,VEREADOR,83
DANILO MARQUES MENDES,3047.24,VEREADOR,13
JACKSON RODRIGUES PIMENTEL,3046.5,VEREADOR,165
ISRAEL BARBOSA DOS SANTOS,3045.36,VEREADOR,176
LILIA SOARES FERREIRA GODOI,3045.01,VEREADOR,196
ADILSON TAVARES OLIVEIRA,3045,VEREADOR,227
BENILDO PEREIRA DE JESUS,3045,VEREADOR,24
DAYANE LUDOVICO CORREA,3045,VEREADOR,7
FABIANO BARBOSA DE OLIVEIRA,3045,VEREADOR,23
FLAVIA NASCIMENTO ALVES RODRIGUES,3045,VEREADOR,2
HIGGOR GOMES DA SILVA,3045,VEREADOR,142
HUGO RANGEL ALVES NUNES,3045,VEREADOR,300
MARCONES ALVES DE OLIVEIRA,3045,VEREADOR,34
VÂNIA PERES BORGES,3045,VEREADOR,19
CLÁUDIA PAULA NUNES SOUZA,3044.4,VEREADOR,155
ELIANY CORACI BORGES,3042.85,VEREADOR,7
NALVA LÚCIA DE OLIVEIRA,3042.6,VEREADOR,298
CLEZIA MORAIS DO NASCIMENTO,3042,VEREADOR,119
RAYANNE BARBOSA DA SILVA,3040.27,VEREADOR,5
FABIO JULIO CORADO,3040,VEREADOR,69
SEBASTIÃO ALCIDES PEREIRA,3039.28,VEREADOR,105
TIAGO DOS REIS CHAGAS,3039.2799999999997,VEREADOR,41
ARIVELTO MONTEIRO DA CUNHA,3038.49,VEREADOR,159
JEREMIAS GOMES DE CASTRO,3038.05,VEREADOR,228
DIVINOR DA COSTA FREIRE,3037.6,VEREADOR,23
MIGUEL RODRIGUES PEIXOTO,3037.06,VEREADOR,80
ROSENIR BARBOSA DE OLIVEIRA ARAUJO,3036.77,VEREADOR,363
LINDOMAR VAZ CASSIANO,3036.05,VEREADOR,47
APARECIDA DIAS BARBOSA DE OLIVEIRA,3035,VEREADOR,82
PAULO CESAR PEREIRA,3035,VEREADOR,574
